branch,verdict,last_author_date
claude/determined-maxwell-dbco8k,CLOSE-MERGED,2026-08-03
agent-harden-api-cost-outbox-17376027973963893260,CLOSE-ORPHANED,2026-07-24
agent/add-playwright-k6-readiness-gates-12086133390999099551,CLOSE-ORPHANED,2026-07-24
agent/autonomous-repository-governance-11618302243648674141,CLOSE-ORPHANED,2026-07-23
agent/harden-api-cost-outbox,CLOSE-ORPHANED,2026-07-27
agent/harden-api-cost-outbox-17376027973963893260,CLOSE-ORPHANED,2026-07-25
agent/harden-api-cost-outbox-4026591943861956227,CLOSE-ORPHANED,2026-07-23
agent/sop-orchestration-framework-12765657140344224400,CLOSE-ORPHANED,2026-07-23
agent/suppress-noop-runs-reporting-5600344477059750791,CLOSE-ORPHANED,2026-07-23
bolt-agentflow-visualizer-optimize-4496922033576160387,CLOSE-ORPHANED,2026-07-25
bolt-fix-database-optimizer-n1-queries-14843617805558882255,CLOSE-ORPHANED,2026-07-14
bolt-interactive-transcript-search-opt-14916651575670311014,CLOSE-ORPHANED,2026-07-21
bolt-memoize-segment-row-14076716723355865204,CLOSE-ORPHANED,2026-07-12
bolt-optimize-call-stacks-and-allocations-6836399447387675120,CLOSE-ORPHANED,2026-07-26
bolt-optimize-interactive-transcript-4719841486477851193,CLOSE-ORPHANED,2026-07-24
bolt-optimize-interactive-transcript-4719841486477851193-7466394128762780856,CLOSE-ORPHANED,2026-07-23
bolt-optimize-interactive-transcript-5311554956858795087,CLOSE-ORPHANED,2026-07-24
bolt-optimize-interactive-transcript-filtering-12565678381754441902,CLOSE-ORPHANED,2026-07-21
bolt-optimize-math-spread-10940801643914955491,CLOSE-ORPHANED,2026-08-01
bolt-optimize-tolowercase-17536213582151471881,CLOSE-ORPHANED,2026-07-21
bolt/fix-batch-query-n1-bottleneck-16664381751066617032,CLOSE-ORPHANED,2026-07-12
bolt/frontend-string-alloc-optimizations-17876779194115511565,CLOSE-ORPHANED,2026-07-23
bolt/optimize-text-filtering-15414235492514692486,CLOSE-ORPHANED,2026-07-24
bolt/optimize-transcript-filtering-15405883277453463883,CLOSE-ORPHANED,2026-07-23
bolt/optimize-viewbox-computation-16758650612686925146,CLOSE-ORPHANED,2026-07-27
claude/add-deterministic-agent-completion-truth-gate,CLOSE-ORPHANED,2026-07-24
claude/agent-login-fix,CLOSE-ORPHANED,2026-07-24
claude/dazzling-edison-95u1m4,CLOSE-ORPHANED,2026-07-17
claude/dazzling-edison-ymkr67,CLOSE-ORPHANED,2026-07-17
claude/determined-maxwell-06popt,CLOSE-ORPHANED,2026-06-29
claude/determined-maxwell-0ium0k,CLOSE-ORPHANED,2026-07-27
claude/determined-maxwell-0n3r27,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-11jydn,CLOSE-ORPHANED,2026-07-12
claude/determined-maxwell-13gas7,CLOSE-ORPHANED,2026-07-21
claude/determined-maxwell-1419pg,CLOSE-ORPHANED,2026-08-01
claude/determined-maxwell-14jgh5,CLOSE-ORPHANED,2026-07-14
claude/determined-maxwell-1y1im5,CLOSE-ORPHANED,2026-07-18
